的	白勹丶
街	彳土土亍
服	月卩又
块	土人
八	八
夫	夫
必	必
取	耳又
治	氵厶口
塔	土艹亼口
世	廿乙
仍	亻乃
奥	米大
足	足
源	氵厂白小
购	贝勹厶
江	氵工
切	七刀
视	礻冂儿
杯	木不
眼	目彐
权	木又
鸡	又鸟
标	木示
具	八
班	王王
尼	尸匕
词	讠乙一口
政	一止攵
木	木
树	木又寸
程	禾口王
错	钅龷日
库	广车
若	艹口
搞	扌高
随	阝月辶
院	阝宀二儿
升	丿廾
养	丶
烤	火耂一乙
结	纟士口
楼	木米女
语	讠五口
步	止
优	亻尢丶
普	丷亚日
讯	讠卂
福	礻一口田
索	糸
森	木木木
准	冫隹
模	木艹日大
吴	口天
领	亽龴页
医	匚矢
客	宀夂口
友	又
偏	亻户冂艹
锅	钅口冂人
飞	飞
够	句夕夕
料	米⺀十
脸	月亼
希	乂巾
辣	立木口
著	艹耂日
洗	氵⺧儿
京	小
户	户
青	龶月
观	又冂儿
术	木丶
精	米龶月
百	丆日
案	宀女木
己	己
洛	氵夂口
专	二乙丶
影	日小彡
梦	木木夕
界	田人
药	艹纟勹丶
照	日刀口灬
湖	氵古月
质	⺁十贝
造	⺧口辶
苏	艹力八
七	七
士	士
声	士尸丨
季	禾子
妈	女马
港	氵龷八巳
峰	山夂三丨
川	川
短	矢豆
降	阝夂㐄
园	囗二儿
营	艹冖吕
列	歹刂
沙	氵少
涨	氵弓丿丶
叶	口十
获	艹犭犬
慢	忄日罒又
富	宀一口田
派	氵⺁
呀	口牙
血	丿皿
校	木六乂
众	人人人
认	讠人
煮	耂日灬
除	阝人于八
思	田心
官	宀㠯
亦	亦
炒	火少
圣	又土
形	开彡
预	予页
规	夫冂儿
圈	囗丷夫㔾
赵	走乂
举	八二丨
诺	讠艹口
修	亻丨夂彡
梅	木母
盐	土卜皿
环	王不
课	讠日木
景	日小
货	亻贝
吉	士口
论	讠人匕
志	士心
铁	钅丿夫
许	讠十
破	石皮
含	亽乙口
套	大镸
票	覀示
防	阝方
采	爫木
牌	片白丿十
左	工
答	亼口
狗	犭句
企	人止
奇	大丁口
雷	⻗田
显	日业
补	衤卜
瓦	瓦
汉	氵又
轻	车ス工
谈	讠火火
素	龶糸
松	木八厶
烧	火⺎
恩	囗大心
倒	亻一厶刂
欧	匚乂欠
什	亻十
剧	尸古刂
轮	车人匕
卷	丷夫㔾
参	厶大彡
冷	冫亽龴
净	冫⺈彐丨
容	宀谷
土	土
令	亽龴
党	尚儿
停	亻冖丁
氏	氏
示	示
角	⺈用
玉	王丶
托	扌丿七
甜	舌甘
啥	口亼古
九	九
旅	方
嘛	口麻
丝	丝
笑	丿大
哥	丁口丁口
春	日
技	扌十又
康	广彐氺
勒	革力
板	木⺁又
秀	禾乃
财	贝丿
千	千
温	氵日皿
怕	忄白
细	纟田
存	丨子
阳	阝日
智	矢口日
限	阝彐
夏	丆目夂
迪	由辶
翻	禾丷田羽
底	广氏丶
莱	艹未丷
桥	木丿大
消	氵月
速	木口辶
瑞	王山而
致	一厶土攵
泰	氺
余	人于八
导	巳寸
初	衤刀
端	立山而
胜	月生
背	丬匕月
研	石开
徐	彳人于八
义	丶乂
朱	丿未
冲	冫中
贴	贝⺊口
复	日夂
伤	亻力
孙	子小
额	宀夂口页
贝	贝
演	氵宀一八
居	尸古
施	方也
野	日土予
旧	丨日
猫	犭艹田
亲	亲
引	弓丨
武	一弋止
鲜	鱼羊
息	自心
统	纟儿
蓝	艹皿
寺	土寸
觉	⺍冖冂儿
例	亻歹刂
丽	一冂丶丶
杀	乂朩
练	纟乙八
假	亻丨又
摄	扌耳又又
鲁	鱼日
睡	目千艹二
碗	石宀夕㔾
压	厂土丶
室	宀一厶土
棒	木二丨
唐	广彐丨口
顿	屯页
君	彐丿口
塞	宀八土
宫	宀吕
亮	冖几
告	⺧口
喜	壴口
韩	十早二丨
糖	米广彐口
确	石⺈用
莫	艹日大
乡	乡
兴	八
核	木亥
佳	亻土土
胡	古月
辆	车两
功	工力
右	口
音	立日
融	一口冂虫
萨	艹阝立丿
冰	冫水
助	且力
范	艹氵㔾
略	田夂口
孩	子亥
招	扌刀口
象	⺈口
丁	丁
盖	⺷皿
尚	尚
望	亡月王
威	戌女
言	言
续	纟头
减	冫戌口
宗	宀示
谢	讠身寸
落	艹氵夂口
险	阝亼
嘉	壴力口
府	广亻寸
势	扌九丶力
雪	⻗彐
追	辶
脚	月土厶卩
既	彐匚儿
始	女厶口
郑	丷天阝
止	止
届	尸由
纯	纟屯
育	月
堂	尚土
刷	尸巾刂
硬	石一日乂
毛	毛
永	丶乙
绿	纟彐氺
馆	饣宀㠯
酸	西一厶夂
命	亼口卩
依	亻衣
累	田糸
戴	十戈田八
济	氵亠乂
蒂	艹巾
雨	雨
备	夂田
坏	土不
尽	尸丶⺀
健	亻彐二廴
登	癶豆
齐	亠乂
待	彳土寸
控	扌穴工
蒙	艹冖二
决	冫人
餐	⺊夕又食
状	丬犬
挂	扌土土
职	耳口八
雅	牙隹
郭	子阝
笔	毛
虾	虫下
付	亻寸
归	彐
评	讠干丷
泽	氵又二丨
跳	儿
宁	宀丁
汽	氵气
赚	贝丷一
炸	火丨二
积	禾口八
跌	丿夫
测	氵贝刂
益	皿
杰	木灬
故	古攵
诗	讠土寸
乱	舌乙
互	一彑
曼	日罒又
帕	巾白
置	罒十
谷	谷
杜	木土
印	一卩
良	丶彐
负	⺈贝
编	纟户冂艹
酱	丬夕西一
汁	氵十
饰	饣巾
厅	厂丁
效	六乂攵
顶	丁页
咸	戌口
软	车欠
抓	扌爪
唱	口日日
猪	犭耂日
借	亻龷日
章	立早
伦	亻人匕
伯	亻白
庄	广土
断	米乙斤
梁	氵刀八木
厂	厂
宋	宀木
草	艹早
虽	口虫
厚	厂日子
委	禾女
甲	甲
失	丿夫
埃	土厶矢
议	讠丶乂
简	门日
惠	心
卫	卩一
识	讠口八
善	羊丷一口
封	土土寸
藏	艹臣
爆	火日龷氺
划	戈刂
农	农
刀	刀
吸	口乃丶
佛	亻弓
击	二山
母	母
熟	子九灬
充	儿
退	彐辶
售	隹口
卢	⺊尸
销	钅月
朝	十早月
弄	王廾
艾	艹乂
券	丷夫刀
族	方矢
姆	女母
盛	戊乙皿
响	口口
哭	吅犬
急	⺈彐心
免	免
伟	亻二乙丨
输	车亼月刂
继	纟米乙
曲	囗艹
灵	彐火
护	扌户
痛	疒龴用
抢	扌人㔾
纸	纟氏
态	大丶心
夜	亠亻夂丶
泡	氵勹巳
麦	龶夂
墙	土土丷回
严	亚丿
稳	禾⺈彐心
骨	骨
顺	川页
荣	艹冖木
乌	乌
抗	扌亠几
架	力口木
适	舌辶
桌	⺊日木
丰	三丨
钟	钅中
宽	宀艹冂儿
抱	扌勹巳
蛋	乙龰虫
艺	艹乙
灯	火丁
围	囗二乙丨
忘	亡心
零	⻗亽龴
遇	日⽱辶
腿	月彐辶
申	申
晓	日⺎
批	扌匕匕
粥	弓米弓
兹	丷一幺幺
享	子
折	扌斤
债	亻龶贝
衣	衣
露	⻗夂口
薄	艹氵甫寸
姜	⺷女
页	页
税	禾丷口儿
般	舟几又
陆	阝二山
赫	土土
屋	尸一厶土
倍	亻立口
滴	氵亠丷古
损	扌口贝
警	艹句攵言
码	石马
独	犭虫
彩	爫木彡
湾	氵亦弓
须	彡页
脑	月㐫
坑	土亠几
候	亻丨矢
静	龶月⺈丨
礼	礻乙
戏	又戈
弗	弓
颗	日木页
耶	耳阝
录	彐氺
淡	氵火火
习	乙冫
历	厂力
弹	弓丷
念	亽乙心
秋	禾火
忙	忄亡
症	疒一止
缺	缶人
临	囗丨
聊	耳卯
羊	羊
航	舟亠几
纪	纟己
紧	又糸
挑	扌儿
策	木冂
庆	广大
瘦	疒臼丨又
汇	氵匚
终	纟夂⺀
监	皿
菲	艹非
脆	月⺈厂㔾
仁	亻二
苦	艹古
兵	丘八
际	阝示
丹	⺆亠
构	木勹厶
幅	巾一口田
闻	门耳
况	冫口儿
朗	丶彐月
玛	王马
船	舟几口
堡	亻口木土
混	氵日匕匕
烂	火丷三
圆	囗口贝
饼	饣丷开
滑	氵骨
争	⺈彐丨
摆	扌罒土厶
凯	山己几
俩	亻两
境	土立日儿
剑	亼刂
尾	尸毛
隆	阝夂一生
帝	巾
承	了三
搭	扌艹亼口
敏	母攵
载	十戈车
床	广木
绝	纟⺈巴
剂	亠乂刂
守	宀寸
签	亼
逛	犭王辶
井	井
沃	氵丿大
宜	宀且
贷	亻弋贝
冬	夂⺀
敢	乙耳攵
宇	宀于
嫩	女木口攵
霍	⻗隹
订	讠丁
爸	父巴
怪	忄又土
域	土戈口一
介	人
检	木亼
池	氵也
键	钅彐二廴
扎	扌乙
嘴	口止匕用
佩	亻几一巾
陪	阝立口
堆	土隹
帅	巾
验	马亼
秒	禾少
密	宀必山
洪	氵龷八
父	父
尝	冖云
牙	牙
桶	木龴用
吹	口欠
奶	女乃
鞋	革土土
浓	氵农
启	户口
协	十力八
跨	大二乙
熊	厶月匕灬
麻	麻
弱	弓冫弓冫
链	钅车辶
典	冂龷八
韦	二乙丨
散	龷月攵
鸟	鸟
饱	饣勹巳
仓	人㔾
旺	日王
虎	虍几
郡	彐丿口阝
患	口中心
洋	氵羊
愿	厂白小心
蒸	艹了灬
尤	尢丶
透	禾乃辶
毒	龶母
呈	口王
救	求攵
欢	又欠
舞	龷㐄
侧	亻贝刂
沈	氵冖儿
董	艹千日二
突	穴犬
究	穴九
辉	⺎冖车
币	丿巾
末	末
异	巳廾
迷	米辶
鬼	白儿厶
移	禾夕夕
润	氵门王
祝	礻口儿
拼	扌丷开
萌	艹日月
秦	禾
搜	扌臼丨又
材	木丿
皆	匕匕白
拟	扌乙丶人
孔	子乙
宣	宀二日
播	扌禾丷田
茨	艹冫欠
魔	麻白儿厶
责	龶贝
兼	丷一彐
瓶	丷开瓦
姓	女生
斤	斤
赢	亡口月丶
液	氵亠亻丶
骂	吅马
培	土立口
审	宀申
晒	日西
甚	其乙
租	禾且
脱	月丷口儿
罪	罒非
冯	冫马
附	阝亻寸
怀	忄不
凉	冫小
溪	氵爫幺大
岩	山石
喷	口十艹贝
洲	氵⺍川
榜	木方
驻	马丶王
泪	氵目
雄	厶隹
娜	女阝
遭	艹日日辶
延	丿廴
骑	马大丁口
蟹	⺈用刀虫
乘	禾丬匕
昌	日日
姐	女且
顾	厂㔾页
聚	耳又乑
似	亻乙丶人
冠	冖二儿寸
坚	又土
旗	方其
犯	犭㔾
巨	匚
征	彳一止
甘	甘
饮	饣欠
潮	氵十早月
宏	宀厶
骗	马户冂艹
肥	月巴
津	氵彐二丨
豪	冖豕
曹	艹日日
童	立日土
佐	亻工
泉	白水
乔	丿大
胃	田月
仪	亻丶乂
勇	龴用力
酷	西一⺧口
魏	禾女白厶
吨	口屯
攻	工攵
怎	丨二心
肌	月几
凭	亻丿士几
胖	月丷二丨
屏	尸丷开
镜	钅立日儿
暖	日爫二夂
贾	覀贝
洞	氵冂一口
涂	氵人于八
爽	大乂乂乂
阴	阝月
赶	走干
奈	大示
竹	竹
辛	立十
疼	疒夂⺀
蔡	艹示
否	不口
俊	亻厶八夂
朋	月月
箱	木目
抽	扌由
择	扌又二丨
腻	月弋二贝
吕	吕
律	彳彐二丨
操	扌品木
斗	⺀十
恒	忄二日
酥	西一禾
邦	三丿阝
豆	豆
湿	氵日业
仔	亻子
忠	中心
钢	钅冂乂
隔	阝一口丨
扣	扌口
锁	钅贝
莉	艹禾刂
害	宀三丨口
档	木彐
窗	穴夕
欲	谷欠
潘	氵禾丷田
摩	麻手
袋	亻弋衣
针	钅十
庭	广丿士廴
枪	木人㔾
担	扌旦
肯	止月
紫	止匕糸
撞	扌立日土
咬	口六乂
席	广廿巾
劳	艹冖力
舰	舟冂儿
戈	戈
婚	女氏日
炎	火火
鸭	甲鸟
擦	扌宀示
误	讠口天
町	田丁
激	氵白方攵
慧	三丨三心
彭	壴彡
肝	月干
距	匚
撑	扌尚手
肾	又月
燕	廿口丬灬
添	氵天
射	身寸
柱	木丶王
喊	口戌口
鹏	月月鸟
挖	扌穴乙
穆	禾白小彡
汗	氵干
诚	讠戊乙
浪	氵丶彐
挤	扌亠乂
侯	亻矢
胸	月勹乂凵
刻	亥刂
耳	耳
枚	木攵
竞	立口儿
撒	扌龷月攵
串	口中
默	黑犬
醒	西一日生
逼	一口田辶
俄	亻丿扌戈
搬	扌舟几又
织	纟口八
遍	户冂艹辶
邓	又阝
凡	几丶
执	扌九丶
舒	亼古予
稍	禾月
仙	亻山
浩	氵⺧口
暗	日立日
详	讠羊
柳	木卯
煎	丷一月灬
碎	石亠人十
穷	穴力
腰	月覀女
颜	立丿彡页
插	扌千臼
炖	火屯
促	亻足
珠	王丿未
填	土十八
悦	忄丷口儿
烟	火囗大
舍	亼古
沟	氵勹厶
训	讠川
寻	彐寸
迎	卬辶
灰	火
幕	艹日大巾
竟	立日儿
铺	钅甫
皇	白王
绍	纟刀口
芳	艹方
丑	乙土
袁	土口
菌	艹囗禾
扬	扌乙丿丿
察	宀示
疾	疒矢
轴	车由
欣	斤欠
祖	礻且
频	止页
凤	几又
刺	木冂刂
虚	虍业
潜	氵夫夫日
脏	月广土
毕	匕匕十
恋	亦心
偶	亻日⽱
仲	亻中
替	夫夫日
饿	饣丿扌戈
翼	羽田龷八
葱	艹勿丶心
震	⻗厂二
丢	丿土厶
摸	扌艹日大
乃	乃
焦	隹灬
猜	犭龶月
桑	又又又木
拖	扌也
振	扌厂二
郎	丶彐阝
洁	氵士口
储	亻讠耂日
泥	氵尸匕
休	亻木
盒	亼口皿
贤	又贝
岭	山亽龴
澳	氵米大
楚	木木乙龰
蒋	艹丬夕寸
夹	夫丷
粗	米且
努	女又力
横	木龷由八
午	十
暴	日龷八氺
碳	石山火
诉	讠斤丶
判	丷二丿刂
纹	纟亠乂
拥	扌用
碰	石丷亚
闹	门亠巾
琴	王王亽乙
琳	王木木
黎	禾勹丿氺
析	木斤
柏	木白
败	贝攵
偷	亻亼月刂
赏	尚贝
伴	亻丷二丨
崔	山隹
恶	亚心
晋	亚日
绕	纟⺎
浅	氵戋
耐	而寸
私	禾厶
困	囗木
烫	氵乙丿火
肖	月
乙	乙
幸	土丷干
膜	月艹日大
盆	八刀皿
驾	力口马
邀	白方攵辶
探	扌冖八木
固	囗古
锦	钅白巾
署	罒耂日
轨	车九
寒	宀八⺀
庙	广由
瓜	瓜
媒	女甘木
涉	氵止
杂	九朩
孝	耂子
丸	九丶
铜	钅冂一口
诸	讠耂日
拆	扌斤丶
晨	日厂二
陶	阝勹缶
授	扌爫冖又
疗	疒了
岗	山冂乂
嫁	女宀豕
序	广予
肺	月一巾
剩	禾丬匕刂
革	革
吵	口少
祥	礻羊
译	讠又二丨
染	氵九木
缘	纟彑
脂	月匕日
胎	月厶口
珍	王人彡
拌	扌丷二丨
浦	氵甫
虫	虫
旁	方
乎	乎
剪	丷一月刀
避	尸口立辶
册	⺆⺆一
芬	艹八刀
阅	门丷口儿
沪	氵户
锡	钅日勿
吓	口下
柯	木丁口
莎	艹氵少
坦	土旦
冈	冂乂
吐	口土
肠	月乙丿丿
烈	歹刂灬
忍	刀丶心
坊	土方
狂	犭王
粒	米立
挡	扌彐
盈	乃又皿
寿	三丿寸
禁	木木示
释	禾丷又丨
癌	疒品山
磨	麻石
妻	十彐女
赖	木口⺈贝
访	讠方
扫	扌彐
墨	黑土
敬	艹句攵
贺	力口贝
爬	爪巴
妮	女尸匕
杆	木干
妹	女未
沉	氵冖几
予	予
拔	扌犮
央	冂大
羽	羽
醋	西一龷日
籍	耒龷日
络	纟夂口
蛇	虫宀匕
赴	走卜
斌	亠乂一止
阁	门夂口
桂	木土土
召	刀口
钙	钅下乙
狼	犭丶彐
汪	氵王
抹	扌末
荷	艹亻丁口
隐	阝⺈彐心
掌	尚手
孟	子皿
哲	扌斤口
呼	口乎
亏	二乙
疑	匕矢龴龰
沿	氵几口
鸿	氵工鸟
湘	氵木目
符	亻寸
御	彳一卩
尊	丷西一寸
扔	扌乃
抵	扌氏丶
纽	纟乙土
勤	堇力
述	木丶辶
趣	走耳又
耀	⺎羽隹
截	十戈隹
映	日冂大
壳	士冖几
乳	爫子乙
巧	工一乙
傻	亻乂夂
葛	艹日勹乙
闲	门木
捷	扌一彐龰
迈	万辶
废	广发
欠	欠
凌	冫土八夂
茂	艹戊
宅	宀丿七
鼓	壴十又
鑫	金金金
渐	氵车斤
嗯	口囗大心
宾	宀丘八
捞	扌艹冖力
崎	山大丁口
姚	女儿
综	纟宀示
腾	月丷夫马
煲	亻口木火
阵	阝车
抛	扌九力
朴	木卜
胶	月六乂
惊	忄小
鼻	自田一
鹿	鹿
莲	艹车辶
昂	日卬
煤	火甘木
粘	米⺊口
赔	贝立口
逃	儿辶
尖	小大
握	扌尸一土
涛	氵三丿寸
触	⺈用虫
缩	纟宀亻日
锋	钅夂三丨
卓	⺊早
尿	尸水
恐	工几丶心
劲	ス工力
赤	土
灭	一火
萧	艹彐小
拜	龵三十
唔	口五口
暂	车斤日
哎	口艹乂
筑	工几丶
孕	乃子
植	木十
昆	日匕匕
迁	千辶
犬	犬
砸	石匚巾
昨	日丨二
括	扌舌
逐	豕辶
廷	丿士廴
翔	羽
阶	阝人
斑	王亠乂王
塘	土广彐口
怒	女又心
违	二乙丨辶
框	木匚王
伍	亻五
唯	口隹
栏	木丷三
叔	上小又
烦	火页
颈	ス工页
炮	火勹巳
弘	弓厶
缓	纟爫二夂
途	人于八辶
娘	女丶彐
蜜	宀必虫
轩	车干
束	木口
绩	纟龶贝
盗	冫欠皿
扶	扌夫
踩	爫木
喂	口田
亭	冖丁
番	禾丷田
漫	氵日罒又
奔	大十廾
躺	身尚
栋	木小
肤	月夫
玲	王亽龴
寄	宀大丁口
糊	米古月
娃	女土土
兽	丷田一口
碧	王白石
晶	日日日
弟	丷弓丨丿
拳	丷夫手
殿	尸龷八又
涅	氵日土
扩	扌广
寸	寸
梨	禾刂木
彦	立丿彡
账	贝丿一丶
岳	丘山
冻	冫小
询	讠勹日
辑	车口耳
嫌	女丷一
劝	又力
晕	日冖车
呆	口木
桃	木儿
删	⺆⺆一刂
壁	尸口立土
幼	幺力
猛	犭子皿
蒜	艹示示
旭	九日
兑	丷口儿
矿	石广
漏	氵尸雨
岸	山厂干
返	⺁又辶
腹	月日夂
肩	户月
瑟	王王必
踢	日勿
碟	石廿乙木
危	⺈厂㔾
残	歹戋
龄	齿亽龴
渡	氵广廿又
坡	土皮
滨	氵宀丘八
爷	父卩
盟	日月皿
苑	艹夕㔾
鼠	鼠
献	十冂丷犬
咱	口自
涵	氵了凵
泛	氵丿之
锐	钅丷口儿
鸣	口鸟
叉	又丶
驶	马史
冒	曰目
稿	禾高
催	亻山隹
估	亻古
墓	艹日大土
奉	二丨
膏	高月
沾	氵⺊口
辅	车甫
颇	皮页
弃	廾
趋	走⺈彐
滚	氵衣八厶
氧	气羊
艘	舟臼丨又
淘	氵勹缶
艳	三丨⺈巴
懒	忄木口贝
苗	艹田
薇	艹彳山攵
浮	氵爫子
吾	五口
堵	土耂日
壶	士冖业
妆	丬女
熬	龶勹攵灬
曰	曰
枝	木十又
笼	龙
弯	亦弓
馅	饣⺈臼
逸	兔辶
鼎	目爿片
昭	日刀口
逢	夂三丨辶
砍	石欠
恨	忄彐
铭	钅夕口
毅	立几又
罚	罒讠刂
霜	⻗木目
妙	女少
雾	⻗夂力
杭	木亠几
薛	艹立十
藤	艹月丷氺
樱	木贝贝女
谭	讠覀早
污	氵二乙
夺	大寸
蕾	艹⻗田
兔	兔
伏	亻犬
裕	衤谷
秘	禾必
障	阝立早
姬	女
哟	口纟勹丶
疯	疒几乂
霸	⻗革月
毁	臼工几又
敦	子攵
醉	西一亠十
怡	忄厶口
闪	门人
魂	云白儿厶
稀	禾乂巾
畅	申乙丿丿
函	了凵
芝	艹之
酶	西一母
柴	止匕木
闭	门丿
臣	臣
裙	衤彐丿口
绘	纟人云
抄	扌少
辰	厂二
埋	土日土
础	石屮凵
渣	氵木旦
哇	口土土
朵	几木
陵	阝土八夂
菊	艹勹米
戒	戈廾
妇	女彐
硕	石页
傅	亻甫寸
聘	耳由一乙
尹	彐丿
胆	月旦
讨	讠寸
摇	扌爫缶
捡	扌亼
熙	巳灬
伪	亻丶丶
撕	扌其斤
覆	覀彳夂
摘	扌亠丷古
陷	阝⺈臼
伸	亻申
概	木彐儿
摔	扌亠幺十
坎	土欠
忌	己心
砖	石二乙丶
颖	匕禾页
棋	木其
鹰	广亻隹鸟
暨	彐匚旦
纲	纟冂乂
扯	扌止
慈	丷一幺心
宿	宀亻丆日
挣	扌⺈彐丨
铝	钅吕
亡	亡
窝	穴口冂人
漆	氵木人氺
厨	厂豆寸
挥	扌冖车
逊	子小辶
贫	八刀贝
遗	贝辶
刮	舌刂
淋	氵木木
晴	日龶月
谱	讠丷亚日
